country,field,year,disclosed_investment,complete
Israel,General purpose,2015,76,True
Israel,Robotics,2022,24,True
Israel,"Mobile, platforms & Internet services",2021,88,True
Israel,"Sales, retail, commerce, marketing",2021,141,True
Israel,Information Technology,2015,113,True
Israel,Hardware,2022,495,True
Italy,"Mobile, platforms & Internet services",2019,1,True
Italy,General purpose,2014,5,True
Italy,Finance,2017,0,True
Italy,Information Technology,2019,1,True
Italy,Software,2018,7,True
Japan,NLP,2020,4,True
South Korea,Education,2024,4,False
South Korea,All,2017,60,True
South Korea,Consumer goods,2022,13,True
South Korea,"Mobile, platforms & Internet services",2014,3,True
South Korea,Data and analytics,2020,129,True
Mexico,All,2014,0,True
Mexico,Data and analytics,2021,8,True
Netherlands,"Mobile, platforms & Internet services",2017,3,True
Netherlands,General purpose,2020,30,True
Netherlands,Data and analytics,2016,42,True
Netherlands,"Sales, retail, commerce, marketing",2018,8,True
Norway,All,2024,197,False
New Zealand,Software,2022,7,True
Poland,Software,2015,2,True
Portugal,Information Technology,2018,0,True
Portugal,Information Technology,2023,2,True
Saudi Arabia,"Mobile, platforms & Internet services",2014,0,True
Saudi Arabia,All,2014,0,True
Singapore,Hardware,2023,64,True
Singapore,Finance,2014,0,True
Sweden,Data and analytics,2022,74,True
Sweden,"Mobile, platforms & Internet services",2024,10,False
Turkey,General purpose,2020,3,True
Taiwan,Software,2015,12,True
Taiwan,All,2016,13,True
United States,Telecommunications,2015,59,True
United States,Manufacturing,2022,833,True
United States,"Mobile, platforms & Internet services",2021,7842,True
United States,Gaming,2014,12,True
United States,"Military, public safety and government",2017,58,True
Netherlands,Manufacturing,2024,1,False
Singapore,NLP,2019,2,True
Singapore,NLP,2020,6,True
Lithuania,All,2017,0,True
Netherlands,NLP,2017,0,True
Romania,All,2018,0,True
United Arab Emirates,Professional services,2021,0,True
Australia,Professional services,2015,0,True
Canada,Cyber Security,2020,6,True
China (mainland),Lending and Investments,2019,24,True
Denmark,"Sales, retail, commerce, marketing",2023,0,True
India,Healthcare and Life Sciences,2017,8,True
India,Healthcare and Life Sciences,2019,19,True
South Korea,Manufacturing,2023,4,True
South Korea,Robotics,2021,10,True
Netherlands,Energy and natural resources,2020,2,True
Netherlands,Computer Vision,2021,96,True
Singapore,Transportation,2016,0,True
Sweden,Finance,2022,6,True
South Africa,Finance,2015,18,True
Australia,Agriculture,2018,2,True
Switzerland,Real estate,2021,8,True
United Kingdom,Gaming,2017,26,True
Singapore,Energy and natural resources,2018,1,True
United Arab Emirates,Information Technology,2024,1509,False
Australia,Robotics,2023,1,True
Brazil,Media and Entertainment,2019,2,True
Brazil,Media and Entertainment,2022,0,True
Switzerland,Community and Lifestyle,2019,4,True
Czechia,Information Technology,2016,2,True
Germany,Navigation and mapping,2023,4,True
Egypt,All,2024,5,False
India,Speech Recognition,2024,1,False
Israel,"Military, public safety and government",2022,1,True
Kenya,Data and analytics,2018,2,True
Kenya,Data and analytics,2020,5,True
Kenya,Software,2024,5,False
Kenya,Finance,2022,3,True
Kenya,Agriculture,2023,7,True
Lithuania,Information Technology,2018,0,True
Lithuania,Information Technology,2021,0,True
Lithuania,Data and analytics,2019,2,True
Nigeria,Software,2022,3,True
Norway,Manufacturing,2024,101,False
Turkey,Professional services,2023,2,True
Vietnam,Data and analytics,2018,0,True
Poland,Manufacturing,2018,2,True
Turkey,Other,2022,0,True
Bangladesh,All,2024,0,False
Chile,Agriculture,2022,0,True
Estonia,Transportation,2021,1,True
Iceland,Information Technology,2020,3,True
Singapore,Education,2024,5,False
Belize,General purpose,2019,0,True
Argentina,Healthcare and Life Sciences,2023,0,True
Denmark,Computer Vision,2021,1,True
Estonia,"Mobile, platforms & Internet services",2022,1,True
Tunisia,General purpose,2022,2,True
South Africa,Robotics,2021,4,True
Estonia,Healthcare and Life Sciences,2023,0,True
Netherlands,Semiconductor,2021,3,True
Philippines,Finance,2023,6,True
Hungary,Cyber Security,2021,0,True
Saint Kitts and Nevis,Cyber Security,2021,1,True
Saint Kitts and Nevis,Finance,2021,1,True
Vietnam,Real estate,2022,0,True
Luxembourg,Sports,2023,1,True
Portugal,Gaming,2023,5,True
Mexico,Computer Vision,2024,1,False
Lithuania,"Military, public safety and government",2024,0,False
Argentina,Biotechnology,2022,1,True
Australia,Sports,2018,0,True
Austria,Real estate,2014,1,True
Austria,Manufacturing,2022,3,True
Austria,Consumer goods,2023,0,True
Belgium,Transportation,2020,0,True
Bulgaria,"Mobile, platforms & Internet services",2022,0,True
Bosnia and Herzegovina,"Mobile, platforms & Internet services",2020,0,True
Brazil,Gaming,2021,0,True
Chile,Professional services,2022,0,True
Colombia,Professional services,2017,0,True
Cyprus,"Sales, retail, commerce, marketing",2015,1,True
Cyprus,Community and Lifestyle,2020,5,True
Czechia,Transportation,2022,22,True
Denmark,Gaming,2020,0,True
Ecuador,Data and analytics,2021,0,True
Ecuador,Data and analytics,2023,0,True
Egypt,"Mobile, platforms & Internet services",2021,0,True
Egypt,Information Technology,2019,0,True
Egypt,Information Technology,2023,1,True
Estonia,Education,2022,2,True
Finland,Energy and natural resources,2021,9,True
Ghana,"Sales, retail, commerce, marketing",2023,0,True
Ghana,All,2022,38,True
Greece,Information Technology,2018,0,True
Greece,Hardware,2014,0,True
Croatia,Consumer goods,2018,0,True
Hungary,"Sales, retail, commerce, marketing",2019,1,True
Hungary,Education,2024,1,False
Hungary,Transportation,2019,0,True
Ireland,Agriculture,2022,0,True
Ireland,Transportation,2018,5,True
Ireland,Transportation,2019,1,True
Italy,Biotechnology,2022,0,True
Italy,Privacy and Security,2019,1,True
Italy,Privacy and Security,2021,3,True
Italy,Consumer goods,2015,1,True
Italy,Consumer goods,2024,1,False
Italy,Professional services,2020,5,True
Italy,Agriculture,2018,0,True
Italy,Cyber Security,2021,3,True
Italy,Energy and natural resources,2016,0,True
Jordan,Community and Lifestyle,2020,0,True
Japan,Facial Recognition,2016,0,True
Kenya,"Sales, retail, commerce, marketing",2023,0,True
South Korea,Sports,2023,2,True
Lebanon,General purpose,2016,0,True
Lithuania,Consumer goods,2021,1,True
Luxembourg,Navigation and mapping,2021,1,True
Luxembourg,All,2024,62,False
Luxembourg,Data and analytics,2016,0,True
Mexico,Media and Entertainment,2017,1,True
Mexico,Consumer goods,2022,2,True
Mexico,Energy and natural resources,2022,2,True
Mongolia,Other,2018,0,True
Malaysia,Education,2019,0,True
Norway,Other,2024,2,False
Norway,Media and Entertainment,2017,30,True
Norway,Biotechnology,2017,0,True
Peru,General purpose,2014,0,True
Peru,Education,2018,0,True
Philippines,Software,2020,0,True
Poland,Other,2024,0,False
Puerto Rico,"Sales, retail, commerce, marketing",2019,1,True
Portugal,"Sales, retail, commerce, marketing",2020,0,True
Qatar,All,2024,4,False
Romania,"Sales, retail, commerce, marketing",2022,0,True
Russia,Hardware,2018,2,True
Russia,Hardware,2019,8,True
Russia,Media and Entertainment,2016,0,True
Russia,Computer Vision,2015,0,True
Singapore,Sports,2015,3,True
Singapore,Computer Vision,2018,63,True
Singapore,Semiconductor,2019,1,True
Slovakia,Hardware,2023,1,True
Slovakia,"Sales, retail, commerce, marketing",2021,0,True
Slovenia,"Mobile, platforms & Internet services",2020,1,True
Slovenia,Transportation,2014,0,True
Sweden,Lending and Investments,2021,0,True
Sweden,Manufacturing,2014,1,True
Sweden,Manufacturing,2018,4,True
Sweden,Sports,2016,0,True
Seychelles,Finance,2021,1,True
Turkey,Consumer goods,2017,0,True
Turkey,Transportation,2017,1,True
Taiwan,"Mobile, platforms & Internet services",2024,8,False
Taiwan,Consumer goods,2022,5,True
Ukraine,Data and analytics,2021,0,True
United States,Facial Recognition,2016,20,True
South Africa,"Military, public safety and government",2021,0,True
Chile,Hardware,2016,0,True
Chile,Hardware,2021,1,True
Chile,Hardware,2022,1,True
Slovenia,Data and analytics,2017,0,True
Australia,"Sales, retail, commerce, marketing",2014,0,True
Australia,General purpose,2022,354,True
Australia,Other,2019,1,True
Belgium,All,2014,4,True
Belgium,All,2016,4,True
Belgium,Software,2017,155,True
Belgium,Information Technology,2019,22,True
Belgium,General purpose,2020,113,True
Belgium,General purpose,2023,8,True
Canada,Media and Entertainment,2023,2,True
Canada,Energy and natural resources,2015,2,True
Canada,Privacy and Security,2022,212,True
Canada,"Sales, retail, commerce, marketing",2015,19,True
Canada,Computer Vision,2017,1,True
Canada,Lending and Investments,2021,11,True
Switzerland,Robotics,2024,5,False
China (mainland),Transportation,2023,1456,True
China (mainland),Professional services,2015,13,True
China (mainland),Professional services,2020,59,True
China (mainland),Information Technology,2021,684,True
China (mainland),Manufacturing,2017,108,True
China (mainland),All,2021,13069,True
China (mainland),NLP,2014,55,True
China (mainland),NLP,2019,28,True
Colombia,Software,2023,1,True
Colombia,General purpose,2019,0,True
Czechia,Software,2016,2,True
Czechia,Data and analytics,2021,31,True
Czechia,All,2023,36,True
Czechia,"Sales, retail, commerce, marketing",2022,62,True
Spain,All,2021,262,True
Estonia,Software,2015,3,True
Finland,Data and analytics,2020,143,True
France,Education,2017,0,True
France,Media and Entertainment,2021,2,True
France,Robotics,2016,8,True
France,Robotics,2017,5,True
France,Transportation,2016,6,True
France,"Sales, retail, commerce, marketing",2015,20,True
France,"Sales, retail, commerce, marketing",2021,133,True
United Kingdom,Transportation,2023,114,True
United Kingdom,"Mobile, platforms & Internet services",2023,229,True
United Kingdom,Media and Entertainment,2016,156,True
United Kingdom,All,2019,1438,True
United Kingdom,Telecommunications,2019,17,True
United Kingdom,Robotics,2023,13,True
United Kingdom,Navigation and mapping,2018,3,True
United Kingdom,Navigation and mapping,2022,28,True
United Kingdom,Professional services,2015,11,True
United Kingdom,Finance,2018,200,True
United Kingdom,Computer Vision,2023,110,True
Hungary,Data and analytics,2023,16,True
Hungary,All,2024,10,False
India,Software,2023,2587,True
India,Telecommunications,2017,1,True
India,Privacy and Security,2019,0,True
Ireland,All,2023,199,True
Ireland,Professional services,2022,2,True
Ireland,Software,2024,14,False
Ireland,Media and Entertainment,2024,0,False
Iceland,Software,2014,0,True
Israel,General purpose,2020,422,True
Israel,General purpose,2024,1578,False
Israel,Sports,2024,18,False
Israel,Computer Vision,2015,6,True
Israel,"Sales, retail, commerce, marketing",2019,44,True
Israel,Software,2020,820,True
Italy,"Sales, retail, commerce, marketing",2019,1,True
Italy,Information Technology,2015,2,True
Italy,Manufacturing,2021,0,True
Japan,General purpose,2020,169,True
Japan,Robotics,2024,9,False
Japan,Other,2019,17,True
Japan,Manufacturing,2015,4,True
Japan,Software,2018,221,True
Japan,Biotechnology,2019,7,True
Japan,Information Technology,2015,6,True
South Korea,Other,2015,0,True
Latvia,Software,2023,0,True
Mexico,Software,2018,0,True
Malaysia,Software,2017,0,True
Malaysia,Software,2023,66,True
Netherlands,Healthcare and Life Sciences,2024,8,False
Netherlands,Other,2017,18,True
Netherlands,All,2018,73,True
Portugal,Data and analytics,2015,5,True
Russia,General purpose,2016,1,True
Saudi Arabia,Software,2020,19,True
Singapore,Finance,2019,43,True
Singapore,Community and Lifestyle,2023,2,True
Sweden,"Sales, retail, commerce, marketing",2014,5,True
Sweden,All,2014,8,True
Turkey,All,2024,10,False
Taiwan,Data and analytics,2023,9,True
United States,NLP,2018,101,True
United States,Robotics,2023,467,True
United States,Semiconductor,2021,268,True
United States,"Military, public safety and government",2023,1056,True
South Africa,All,2014,0,True
South Africa,All,2024,9,False
Turkey,"Mobile, platforms & Internet services",2023,2,True
Austria,Energy and natural resources,2020,2,True
Czechia,"Mobile, platforms & Internet services",2022,3,True
Italy,Healthcare and Life Sciences,2018,3,True
Japan,Computer Vision,2022,1,True
Lithuania,All,2021,7,True
Mexico,Healthcare and Life Sciences,2019,0,True
Netherlands,Transportation,2019,2,True
Netherlands,Consumer goods,2022,26,True
Norway,Information Technology,2024,12,False
Sweden,Biotechnology,2014,1,True
Sweden,Biotechnology,2016,1,True
Taiwan,Media and Entertainment,2022,0,True
United Arab Emirates,All,2016,1,True
Australia,Finance,2015,0,True
Austria,Healthcare and Life Sciences,2020,3,True
Belgium,Healthcare and Life Sciences,2016,0,True
Finland,Other,2017,0,True
Indonesia,Data and analytics,2024,1,False
Israel,Biotechnology,2024,3,False
South Korea,Biotechnology,2015,0,True
Netherlands,Privacy and Security,2019,9,True
Poland,Professional services,2017,4,True
Saudi Arabia,"Sales, retail, commerce, marketing",2018,0,True
Saudi Arabia,General purpose,2019,7,True
Croatia,Software,2018,0,True
Thailand,Software,2018,1,True
Hungary,Healthcare and Life Sciences,2023,6,True
Mexico,Lending and Investments,2018,0,True
Singapore,Real estate,2021,6,True
Brazil,Media and Entertainment,2020,0,True
Brazil,NLP,2017,0,True
China (mainland),Semiconductor,2023,125,True
Czechia,Information Technology,2023,15,True
Denmark,Information Technology,2018,3,True
Indonesia,Other,2023,3,True
Kenya,Data and analytics,2021,11,True
Nigeria,Software,2021,1,True
Belgium,Computer Vision,2019,0,True
Brazil,Community and Lifestyle,2023,0,True
Switzerland,Energy and natural resources,2017,0,True
Chile,Other,2022,2,True
Sri Lanka,All,2022,0,True
Nigeria,Information Technology,2023,1,True
Norway,"Sales, retail, commerce, marketing",2023,72,True
Bangladesh,All,2023,0,True
Chile,Agriculture,2023,0,True
Denmark,Computer Vision,2019,0,True
Estonia,Gaming,2020,0,True
South Korea,Semiconductor,2021,3,True
Dominican Republic,General purpose,2022,0,True
Netherlands,Semiconductor,2022,16,True
Vietnam,Other,2023,0,True
Iraq,Software,2022,0,True
Vietnam,Real estate,2023,0,True
Belize,Professional services,2022,20,True
Mexico,Computer Vision,2022,1,True
Côte d'Ivoire,General purpose,2024,0,False
Uzbekistan,Data and analytics,2024,0,False
Armenia,All,2024,14,False
Bulgaria,All,2016,0,True
Bulgaria,Information Technology,2014,0,True
Belize,"Mobile, platforms & Internet services",2019,0,True
Brazil,"Military, public safety and government",2021,0,True
Canada,"Military, public safety and government",2024,2,False
Canada,Navigation and mapping,2023,5,True
Switzerland,"Military, public safety and government",2024,4,False
Chile,Real estate,2021,0,True
Chile,Real estate,2022,1,True
Chile,NLP,2020,1,True
China (mainland),Navigation and mapping,2015,0,True
Czechia,Hardware,2016,1,True
Czechia,Hardware,2020,2,True
Germany,Sports,2021,3,True
Dominican Republic,All,2020,0,True
Egypt,Professional services,2023,1,True
Egypt,Information Technology,2024,1,False
Spain,Cyber Security,2019,1,True
Spain,Gaming,2023,1,True
Estonia,Cyber Security,2018,1,True
Estonia,Community and Lifestyle,2020,0,True
Estonia,Energy and natural resources,2023,0,True
Finland,Manufacturing,2016,2,True
Finland,Media and Entertainment,2017,1,True
Finland,Finance,2017,1,True
France,Semiconductor,2018,7,True
United Kingdom,Semiconductor,2020,32,True
Ghana,Data and analytics,2022,1,True
Greece,Transportation,2019,1,True
Hungary,Energy and natural resources,2020,0,True
Hungary,Professional services,2023,4,True
Indonesia,Professional services,2024,0,False
India,"Military, public safety and government",2023,0,True
Ireland,NLP,2016,0,True
Iran,General purpose,2020,0,True
Iceland,Other,2023,0,True
Israel,Navigation and mapping,2017,2,True
Jordan,Data and analytics,2016,0,True
Sri Lanka,Software,2017,2,True
Luxembourg,"Sales, retail, commerce, marketing",2015,0,True
Luxembourg,Energy and natural resources,2022,4,True
Latvia,Hardware,2020,3,True
Mexico,"Sales, retail, commerce, marketing",2020,25,True
Mexico,Transportation,2022,12,True
Mexico,Transportation,2023,1,True
Malaysia,Community and Lifestyle,2020,2,True
Malaysia,Finance,2022,1,True
Nigeria,Privacy and Security,2022,0,True
Norway,Energy and natural resources,2021,1,True
Norway,Gaming,2018,0,True
Pakistan,Software,2018,0,True
Pakistan,All,2017,1,True
Philippines,Information Technology,2018,0,True
Poland,Energy and natural resources,2022,3,True
Portugal,Media and Entertainment,2017,1,True
Portugal,Real estate,2016,2,True
Portugal,Real estate,2019,3,True
Portugal,Biotechnology,2018,0,True
Saudi Arabia,Community and Lifestyle,2022,1029,True
Singapore,Gaming,2023,5,True
Singapore,Gaming,2024,3,False
Singapore,Sports,2019,2,True
Serbia,Software,2023,43,True
Slovenia,Information Technology,2016,0,True
Sweden,NLP,2020,1,True
Seychelles,Information Technology,2016,0,True
Thailand,Information Technology,2018,0,True
Thailand,Biotechnology,2020,0,True
Trinidad and Tobago,Software,2024,2,False
Turkey,Energy and natural resources,2018,0,True
Taiwan,Manufacturing,2023,1,True
Ukraine,Data and analytics,2014,0,True
Uruguay,Software,2021,0,True
United States,Facial Recognition,2015,0,True
South Africa,Healthcare and Life Sciences,2024,0,False
Switzerland,Agriculture,2015,0,True
Australia,Hardware,2016,4,True
Australia,"Mobile, platforms & Internet services",2019,7,True
Australia,General purpose,2024,40,False
Australia,Computer Vision,2019,1,True
Australia,Consumer goods,2016,0,True
Austria,Finance,2022,3,True
Austria,Hardware,2014,1,True
Austria,All,2019,19,True
Austria,All,2024,164,False
Belgium,Data and analytics,2019,26,True
Belgium,Information Technology,2022,127,True
Brazil,Finance,2023,10,True
Canada,Community and Lifestyle,2021,82,True
Canada,Software,2022,2518,True
Canada,"Mobile, platforms & Internet services",2020,123,True
Canada,All,2016,553,True
Switzerland,Professional services,2016,0,True
Switzerland,All,2020,259,True
Switzerland,"Mobile, platforms & Internet services",2021,173,True
Chile,General purpose,2016,0,True
China (mainland),Transportation,2022,440,True
China (mainland),Robotics,2014,12,True
China (mainland),Biotechnology,2019,49,True
China (mainland),Other,2022,89,True
China (mainland),Manufacturing,2023,1274,True
China (mainland),Consumer goods,2022,109,True
China (mainland),Privacy and Security,2021,134,True
Cyprus,Data and analytics,2024,1,False
Germany,Hardware,2022,120,True
Germany,Transportation,2021,208,True
Germany,Software,2022,555,True
Germany,Community and Lifestyle,2015,6,True
Germany,Real estate,2024,14,False
Spain,Media and Entertainment,2021,0,True
Spain,Professional services,2019,8,True
Spain,Manufacturing,2020,3,True
Spain,Data and analytics,2015,10,True
Estonia,Data and analytics,2022,30,True
Finland,"Sales, retail, commerce, marketing",2016,2,True
Finland,Data and analytics,2024,679,False
France,Hardware,2022,57,True
France,Manufacturing,2022,9,True
France,Finance,2019,88,True
France,Healthcare and Life Sciences,2018,10,True
France,Healthcare and Life Sciences,2021,113,True
France,"Sales, retail, commerce, marketing",2017,18,True
United Kingdom,Consumer goods,2019,34,True
United Kingdom,Real estate,2020,191,True
United Kingdom,NLP,2020,31,True
United Kingdom,Robotics,2021,9,True
United Kingdom,Robotics,2022,26,True
United Kingdom,Education,2022,25,True
Greece,All,2020,21,True
Greece,Software,2020,10,True
India,Finance,2024,54,False
India,Software,2021,458,True
India,"Mobile, platforms & Internet services",2016,38,True
India,Consumer goods,2019,6,True
India,Other,2023,18,True
India,NLP,2015,0,True
India,"Sales, retail, commerce, marketing",2021,128,True
India,General purpose,2020,179,True
India,Information Technology,2022,1400,True
Ireland,General purpose,2018,48,True
Ireland,Media and Entertainment,2018,9,True
Israel,Privacy and Security,2024,340,False
Israel,Finance,2023,30,True
Israel,Consumer goods,2020,42,True
Israel,Other,2023,15,True
Italy,"Mobile, platforms & Internet services",2023,8,True
Italy,Finance,2019,1,True
Italy,"Sales, retail, commerce, marketing",2015,4,True
Italy,Information Technology,2018,5,True
Italy,Manufacturing,2019,1,True
Japan,General purpose,2021,142,True
Japan,Other,2022,1,True
Japan,Manufacturing,2022,4,True
Japan,Data and analytics,2023,111,True
Japan,All,2023,887,True
Japan,Transportation,2020,172,True
South Korea,Computer Vision,2017,2,True
South Korea,Consumer goods,2018,4,True
Latvia,All,2019,2,True
Malaysia,General purpose,2018,20,True
Malaysia,General purpose,2024,4,False
Netherlands,Other,2021,2,True
Norway,Data and analytics,2020,350,True
New Zealand,Data and analytics,2020,7,True
New Zealand,General purpose,2015,3,True
Portugal,Hardware,2023,2,True
Portugal,Data and analytics,2022,15,True
Saudi Arabia,Software,2017,14,True
Saudi Arabia,Software,2024,67,False
Singapore,"Mobile, platforms & Internet services",2021,590,True
Singapore,Finance,2016,4,True
Singapore,General purpose,2019,1652,True
Singapore,Navigation and mapping,2015,1,True
Singapore,Privacy and Security,2017,9,True
Slovakia,All,2024,9,False
Sweden,"Sales, retail, commerce, marketing",2019,2,True
Sweden,Software,2015,8,True
Sweden,Software,2019,33,True
Sweden,Data and analytics,2017,29,True
Turkey,General purpose,2017,2,True
Turkey,General purpose,2019,2,True
Turkey,General purpose,2024,4,False
Taiwan,Data and analytics,2019,10,True
Ukraine,All,2023,3,True
Ukraine,Software,2016,0,True
United States,"Sales, retail, commerce, marketing",2017,682,True
United States,Professional services,2019,1876,True
United States,Computer Vision,2022,329,True
United States,Real estate,2023,557,True
United States,Hardware,2015,574,True
United States,Finance,2022,9467,True
United States,Privacy and Security,2017,443,True
United States,Energy and natural resources,2018,130,True
South Africa,Software,2020,34,True
South Africa,Data and analytics,2017,29,True
India,Gaming,2022,3,True
South Korea,Real estate,2020,4,True
Argentina,All,2021,16,True
Brazil,Transportation,2020,1,True
Italy,Healthcare and Life Sciences,2024,2,False
Japan,Computer Vision,2021,0,True
Sweden,Biotechnology,2017,0,True
United Arab Emirates,"Mobile, platforms & Internet services",2018,1,True
Australia,Professional services,2017,3,True
Australia,Energy and natural resources,2021,6,True
Australia,Media and Entertainment,2019,3,True
Switzerland,Finance,2016,0,True
Switzerland,Other,2018,19,True
Denmark,"Sales, retail, commerce, marketing",2018,5,True
United Kingdom,Manufacturing,2018,35,True
Indonesia,Software,2020,6,True
South Korea,Finance,2016,2,True
Mexico,Finance,2024,2,False
Sweden,Computer Vision,2020,0,True
Turkey,Hardware,2019,2,True
Taiwan,"Sales, retail, commerce, marketing",2015,2,True
Hungary,Biotechnology,2018,0,True
Malaysia,Hardware,2018,0,True
Singapore,Robotics,2021,3,True
Singapore,Manufacturing,2019,1,True
Serbia,All,2023,43,True
Egypt,Software,2022,4,True
Egypt,General purpose,2016,0,True
Kenya,Software,2023,8,True
Kenya,Information Technology,2019,0,True
Singapore,Lending and Investments,2016,1,True
China (mainland),Gaming,2024,5,False
Denmark,Agriculture,2022,9,True
Kenya,"Mobile, platforms & Internet services",2020,1,True
South Korea,NLP,2024,32,False
Sri Lanka,All,2021,0,True
Norway,Robotics,2020,11,True
Poland,Computer Vision,2023,1,True
Nigeria,NLP,2019,0,True
Kazakhstan,Software,2019,0,True
Venezuela,Transportation,2019,1,True
Puerto Rico,Navigation and mapping,2020,0,True
Dominican Republic,Software,2021,0,True
Kazakhstan,"Sales, retail, commerce, marketing",2020,0,True
Colombia,Hardware,2024,0,False
Kuwait,Software,2023,4,True
Tunisia,NLP,2023,0,True
Qatar,NLP,2024,0,False
Uzbekistan,Other,2024,0,False
Albania,All,2024,5,False
United Arab Emirates,NLP,2022,0,True
United Arab Emirates,Community and Lifestyle,2015,0,True
Armenia,All,2020,2,True
Armenia,Software,2020,0,True
Austria,Computer Vision,2019,0,True
Austria,Robotics,2024,0,False
Belgium,Professional services,2024,165,False
Belgium,NLP,2021,0,True
Bangladesh,"Mobile, platforms & Internet services",2024,0,False
Bulgaria,General purpose,2014,0,True
Bulgaria,Other,2022,0,True
Bulgaria,Community and Lifestyle,2018,0,True
Brazil,Privacy and Security,2019,2,True
Canada,Navigation and mapping,2021,0,True
Switzerland,"Military, public safety and government",2022,3,True
Chile,Consumer goods,2019,1,True
Chile,Finance,2018,0,True
Chile,Information Technology,2022,3,True
Cyprus,Facial Recognition,2020,1,True
Czechia,Hardware,2019,2,True
Czechia,Consumer goods,2017,1,True
Czechia,Consumer goods,2023,1,True
Egypt,"Sales, retail, commerce, marketing",2022,0,True
Spain,Gaming,2015,0,True
Spain,Robotics,2023,2,True
Estonia,Consumer goods,2018,0,True
Finland,Education,2016,0,True
Finland,Education,2020,0,True
Finland,Finance,2014,0,True
France,Semiconductor,2024,1,False
Greece,General purpose,2023,110,True
Greece,Transportation,2017,2,True
Hungary,NLP,2020,1,True
Indonesia,"Mobile, platforms & Internet services",2016,2,True
Indonesia,Biotechnology,2023,1,True
India,Biotechnology,2015,0,True
Ireland,Finance,2022,17,True
Ireland,"Military, public safety and government",2021,0,True
Ireland,Speech Recognition,2016,0,True
Iceland,Gaming,2016,1,True
Italy,Energy and natural resources,2021,1,True
Japan,Navigation and mapping,2019,72,True
Kenya,Education,2020,1,True
Lebanon,Professional services,2017,0,True
Lebanon,All,2017,1,True
Sri Lanka,Hardware,2023,0,True
Lithuania,Consumer goods,2016,1,True
Luxembourg,Media and Entertainment,2017,1,True
Luxembourg,All,2017,1,True
Latvia,"Mobile, platforms & Internet services",2021,0,True
Mongolia,All,2022,0,True
Malaysia,Healthcare and Life Sciences,2023,1,True
Malaysia,Computer Vision,2021,20,True
Nigeria,Other,2021,0,True
Nigeria,Lending and Investments,2022,0,True
Netherlands,Lending and Investments,2020,1,True
Norway,Consumer goods,2020,0,True
Pakistan,General purpose,2022,1,True
Peru,Software,2022,0,True
Peru,Community and Lifestyle,2022,0,True
Poland,NLP,2015,1,True
Poland,NLP,2023,0,True
Portugal,Community and Lifestyle,2020,0,True
Qatar,Software,2024,4,False
Romania,Professional services,2020,0,True
Romania,Education,2020,1,True
Serbia,Speech Recognition,2020,0,True
Serbia,Hardware,2023,43,True
Slovakia,Education,2014,0,True
Slovenia,Transportation,2015,0,True
Slovenia,Finance,2015,0,True
Seychelles,Finance,2017,1,True
Tunisia,Agriculture,2022,0,True
Taiwan,Education,2022,0,True
Taiwan,Other,2023,0,True
Uganda,General purpose,2019,0,True
Uruguay,"Sales, retail, commerce, marketing",2024,1,False
Vietnam,Finance,2021,6,True
South Africa,Agriculture,2019,2,True
South Africa,Lending and Investments,2017,22,True
South Africa,Consumer goods,2017,0,True
South Africa,"Sales, retail, commerce, marketing",2023,0,True
Zimbabwe,Data and analytics,2019,0,True
China (mainland),Sports,2016,0,True
Australia,Privacy and Security,2024,0,False
Australia,Consumer goods,2014,0,True
Austria,Information Technology,2021,20,True
Austria,Hardware,2024,10,False
Belgium,Data and analytics,2018,15,True
Belgium,All,2018,21,True
Belgium,General purpose,2019,24,True
Brazil,Agriculture,2020,1,True
Brazil,Information Technology,2018,6,True
Brazil,Information Technology,2020,201,True
Brazil,Data and analytics,2014,0,True
Canada,Manufacturing,2024,27,False
Canada,Professional services,2015,1,True
Switzerland,Consumer goods,2024,83,False
Switzerland,Cyber Security,2016,0,True
Switzerland,Biotechnology,2019,3,True
Chile,Software,2014,100,True
China (mainland),Transportation,2020,453,True
China (mainland),Professional services,2016,8,True
China (mainland),Community and Lifestyle,2017,69,True
China (mainland),"Sales, retail, commerce, marketing",2020,36,True
China (mainland),Education,2020,488,True
China (mainland),Other,2019,167,True
China (mainland),Privacy and Security,2024,35,False
China (mainland),Software,2018,3165,True
Cyprus,All,2016,1,True
Czechia,"Sales, retail, commerce, marketing",2023,1,True
Germany,All,2020,817,True
Germany,All,2021,1994,True
Germany,Consumer goods,2021,153,True
Spain,Hardware,2020,19,True
Estonia,Data and analytics,2024,6,False
Estonia,General purpose,2023,4,True
Finland,General purpose,2018,11,True
Finland,All,2015,116,True
France,Professional services,2018,35,True
France,Energy and natural resources,2024,4,False
France,Healthcare and Life Sciences,2020,21,True
France,"Sales, retail, commerce, marketing",2016,28,True
United Kingdom,Community and Lifestyle,2015,6,True
United Kingdom,"Sales, retail, commerce, marketing",2014,101,True
United Kingdom,Cyber Security,2017,6,True
United Kingdom,Lending and Investments,2014,11,True
United Kingdom,All,2015,440,True
United Kingdom,All,2024,3719,False
United Kingdom,Telecommunications,2023,31,True
United Kingdom,NLP,2017,10,True
United Kingdom,Biotechnology,2014,7,True
United Kingdom,Data and analytics,2015,137,True
United Kingdom,General purpose,2015,131,True
United Kingdom,Finance,2023,207,True
Greece,Data and analytics,2014,0,True
Hungary,General purpose,2017,2,True
India,Hardware,2024,67,False
India,Privacy and Security,2017,0,True
India,Media and Entertainment,2020,14,True
