country,field,year,disclosed_investment,complete
Turkey,All,2014,0,True
United States,All,2022,50391,True
United States,Other,2015,411,True
United States,Transportation,2021,8612,True
United States,Education,2023,70,True
United States,Healthcare and Life Sciences,2022,2596,True
United States,Telecommunications,2014,85,True
United States,Manufacturing,2024,597,False
United States,Gaming,2017,21,True
United States,Speech Recognition,2020,300,True
United States,Energy and natural resources,2023,349,True
United States,Software,2024,24202,False
United States,Agriculture,2016,22,True
United States,Semiconductor,2024,497,False
Lithuania,Software,2023,2,True
Taiwan,Media and Entertainment,2023,0,True
United Arab Emirates,General purpose,2018,8,True
Germany,Telecommunications,2023,1,True
Denmark,General purpose,2024,55,False
Denmark,Hardware,2019,17,True
Denmark,Software,2018,164,True
Spain,Real estate,2018,4,True
Indonesia,General purpose,2017,1,True
Israel,Cyber Security,2015,5,True
Israel,Biotechnology,2023,8,True
South Korea,Biotechnology,2016,1,True
South Korea,Professional services,2019,10,True
Netherlands,Privacy and Security,2020,5,True
Saudi Arabia,General purpose,2016,1,True
Sweden,Other,2015,0,True
South Africa,Finance,2020,18,True
Finland,Real estate,2022,25,True
South Korea,Privacy and Security,2020,3,True
Australia,Robotics,2024,1,False
Egypt,Software,2023,3,True
United Kingdom,"Military, public safety and government",2020,22,True
India,Speech Recognition,2021,8,True
Kenya,Finance,2023,7,True
Kenya,All,2021,11,True
South Korea,Transportation,2021,30,True
Lithuania,Information Technology,2016,0,True
Lithuania,Data and analytics,2017,0,True
Norway,Manufacturing,2022,113,True
Romania,Data and analytics,2019,2,True
Vietnam,General purpose,2020,1,True
Finland,Agriculture,2021,3,True
Israel,Semiconductor,2024,10,False
Sri Lanka,Information Technology,2022,0,True
Norway,Professional services,2018,8,True
South Africa,Information Technology,2023,0,True
South Africa,General purpose,2017,6,True
Estonia,Transportation,2019,0,True
Japan,Semiconductor,2020,1,True
Poland,Real estate,2018,1,True
Singapore,Education,2018,1,True
Serbia,Finance,2019,0,True
Czechia,Sports,2022,2,True
Malta,Finance,2021,25,True
Vietnam,Community and Lifestyle,2021,0,True
Sri Lanka,Education,2021,0,True
Ukraine,Healthcare and Life Sciences,2024,0,False
Colombia,Computer Vision,2022,0,True
Kazakhstan,Lending and Investments,2022,0,True
Georgia,All,2022,0,True
Sri Lanka,Finance,2022,0,True
Tunisia,Community and Lifestyle,2024,0,False
Luxembourg,Healthcare and Life Sciences,2022,0,True
Chile,Navigation and mapping,2023,0,True
Albania,Media and Entertainment,2019,7,True
United Arab Emirates,Community and Lifestyle,2022,1,True
United Arab Emirates,Lending and Investments,2023,7,True
Australia,Cyber Security,2015,0,True
Austria,Computer Vision,2021,5,True
Bulgaria,Data and analytics,2018,0,True
Bulgaria,Data and analytics,2022,0,True
Bulgaria,Hardware,2021,0,True
Bosnia and Herzegovina,General purpose,2020,0,True
Brazil,Real estate,2022,3,True
Brazil,Lending and Investments,2022,1,True
Switzerland,Semiconductor,2020,1,True
Chile,Education,2014,0,True
Chile,Biotechnology,2019,0,True
China (mainland),Cyber Security,2021,134,True
Cyprus,"Mobile, platforms & Internet services",2020,4,True
Egypt,Community and Lifestyle,2023,1,True
Spain,Gaming,2016,0,True
Estonia,"Sales, retail, commerce, marketing",2015,0,True
Estonia,Education,2021,1,True
Estonia,Media and Entertainment,2022,1,True
Finland,NLP,2016,1,True
Finland,Simulation,2019,0,True
Finland,Media and Entertainment,2024,0,False
Greece,Computer Vision,2018,1,True
Croatia,Other,2020,1,True
Hungary,Community and Lifestyle,2016,0,True
Hungary,Consumer goods,2018,0,True
Hungary,Computer Vision,2019,2,True
Hungary,Agriculture,2022,0,True
Ireland,Agriculture,2023,1,True
Israel,Facial Recognition,2014,0,True
Italy,Consumer goods,2022,0,True
Italy,Computer Vision,2021,1,True
Italy,Gaming,2022,6,True
Italy,Cyber Security,2024,3,False
Jordan,Data and analytics,2019,1,True
Jordan,Information Technology,2021,0,True
Japan,Consumer goods,2018,4,True
Kenya,Healthcare and Life Sciences,2020,2,True
Kenya,Other,2022,0,True
South Korea,Energy and natural resources,2022,5,True
Lebanon,Professional services,2018,0,True
Lithuania,"Mobile, platforms & Internet services",2019,0,True
Lithuania,"Mobile, platforms & Internet services",2020,0,True
Luxembourg,Finance,2021,1,True
Luxembourg,Software,2017,1,True
Luxembourg,Software,2023,1,True
Latvia,Hardware,2017,0,True
Morocco,General purpose,2024,1,False
Mexico,Biotechnology,2016,0,True
Malta,Software,2020,10,True
Mauritius,Lending and Investments,2020,1,True
Netherlands,Sports,2020,0,True
Netherlands,Real estate,2019,11,True
Netherlands,Agriculture,2014,1,True
Netherlands,Agriculture,2019,3,True
Norway,Media and Entertainment,2024,0,False
New Zealand,Biotechnology,2016,1,True
Pakistan,All,2014,0,True
Pakistan,General purpose,2018,0,True
Peru,Community and Lifestyle,2024,2,False
Philippines,Software,2018,1,True
Poland,Biotechnology,2020,1,True
Poland,Education,2020,3,True
Poland,Navigation and mapping,2023,0,True
Puerto Rico,"Mobile, platforms & Internet services",2020,0,True
Puerto Rico,Media and Entertainment,2022,1,True
Portugal,Manufacturing,2019,1,True
Romania,"Mobile, platforms & Internet services",2020,1,True
Romania,Energy and natural resources,2019,0,True
Romania,General purpose,2018,0,True
Romania,Computer Vision,2020,0,True
Russia,Other,2015,0,True
Russia,"Sales, retail, commerce, marketing",2019,5,True
Saudi Arabia,Real estate,2019,1,True
Serbia,"Sales, retail, commerce, marketing",2017,0,True
Sweden,Manufacturing,2022,14,True
Sweden,Robotics,2021,30,True
Seychelles,All,2021,1,True
Turkey,Education,2020,0,True
Taiwan,Biotechnology,2014,0,True
Taiwan,Telecommunications,2019,0,True
Zambia,Data and analytics,2023,0,True
Ireland,Biotechnology,2015,1,True
Australia,"Mobile, platforms & Internet services",2017,4,True
Austria,Information Technology,2020,6,True
Austria,Data and analytics,2014,3,True
Belgium,All,2021,533,True
Belgium,Software,2022,150,True
Belgium,"Sales, retail, commerce, marketing",2017,16,True
Brazil,Software,2022,532,True
Canada,Real estate,2022,12,True
Canada,Other,2014,8,True
Canada,Transportation,2018,9,True
Canada,General purpose,2019,319,True
Canada,"Mobile, platforms & Internet services",2017,39,True
Canada,"Mobile, platforms & Internet services",2021,175,True
Canada,Healthcare and Life Sciences,2016,6,True
Canada,Healthcare and Life Sciences,2018,10,True
Canada,All,2014,111,True
Switzerland,Hardware,2022,54,True
Switzerland,Robotics,2023,7,True
Switzerland,Media and Entertainment,2014,0,True
Switzerland,Media and Entertainment,2017,0,True
Switzerland,Data and analytics,2024,123,False
Switzerland,Biotechnology,2023,7,True
Switzerland,Biotechnology,2024,38,False
Chile,All,2022,82,True
China (mainland),Transportation,2016,35,True
China (mainland),Speech Recognition,2019,15,True
China (mainland),"Sales, retail, commerce, marketing",2021,214,True
China (mainland),"Mobile, platforms & Internet services",2017,864,True
China (mainland),Hardware,2023,518,True
Czechia,Data and analytics,2014,0,True
Germany,Transportation,2022,143,True
Germany,Data and analytics,2023,420,True
Germany,Consumer goods,2016,0,True
Germany,Finance,2018,33,True
Germany,Media and Entertainment,2015,3,True
Spain,"Mobile, platforms & Internet services",2015,7,True
Spain,General purpose,2016,35,True
Spain,"Sales, retail, commerce, marketing",2017,7,True
Spain,Healthcare and Life Sciences,2022,42,True
Spain,Computer Vision,2020,12,True
Spain,Other,2016,0,True
Spain,Other,2019,6,True
Estonia,Data and analytics,2017,1,True
Estonia,Other,2021,1,True
Estonia,Software,2018,2,True
Finland,Information Technology,2016,3,True
Finland,Data and analytics,2015,26,True
Finland,Data and analytics,2018,6,True
France,Software,2023,372,True
France,Consumer goods,2021,19,True
France,Other,2015,5,True
United Kingdom,Consumer goods,2024,30,False
United Kingdom,Privacy and Security,2014,16,True
United Kingdom,All,2018,1441,True
United Kingdom,Healthcare and Life Sciences,2019,54,True
United Kingdom,Biotechnology,2017,10,True
United Kingdom,Data and analytics,2019,550,True
United Kingdom,Education,2020,11,True
United Kingdom,Computer Vision,2019,53,True
Hungary,Data and analytics,2015,1,True
Hungary,Data and analytics,2018,6,True
Hungary,General purpose,2024,6,False
India,Software,2019,299,True
India,Consumer goods,2017,8,True
India,Other,2018,9,True
India,Information Technology,2018,349,True
Ireland,General purpose,2019,77,True
Ireland,Community and Lifestyle,2021,1,True
Ireland,Information Technology,2014,2,True
Ireland,Information Technology,2022,20,True
Ireland,Software,2020,63,True
Israel,General purpose,2018,188,True
Israel,Robotics,2024,18,False
Israel,Sports,2016,8,True
Israel,Information Technology,2019,145,True
Israel,Real estate,2016,4,True
Israel,Real estate,2024,17,False
Italy,All,2020,28,True
Italy,General purpose,2022,25,True
South Korea,Other,2020,8,True
South Korea,Education,2018,8,True
South Korea,Consumer goods,2024,14,False
South Korea,"Mobile, platforms & Internet services",2016,49,True
South Korea,"Mobile, platforms & Internet services",2018,24,True
Latvia,Software,2021,0,True
Malaysia,Software,2024,13,False
Netherlands,Software,2015,19,True
Norway,All,2016,2,True
Norway,Data and analytics,2023,129,True
Norway,General purpose,2020,339,True
New Zealand,All,2015,5,True
New Zealand,General purpose,2024,14,False
Poland,Data and analytics,2021,20,True
Portugal,Hardware,2021,3,True
Russia,Information Technology,2014,0,True
Singapore,Professional services,2020,460,True
Singapore,Finance,2023,183,True
Slovakia,All,2022,10,True
Turkey,General purpose,2014,0,True
Turkey,Software,2016,3,True
Ukraine,All,2018,0,True
United States,All,2015,12391,True
United States,Lending and Investments,2017,48,True
United States,Lending and Investments,2021,2461,True
United States,NLP,2023,12501,True
United States,Speech Recognition,2018,38,True
United States,Agriculture,2018,2147,True
South Africa,Data and analytics,2022,19,True
Brazil,Education,2022,104,True
Japan,Sports,2014,0,True
Peru,Data and analytics,2018,0,True
Turkey,"Mobile, platforms & Internet services",2017,1,True
Argentina,Data and analytics,2023,0,True
Germany,Education,2022,26,True
India,Computer Vision,2017,2,True
Japan,Computer Vision,2017,4,True
Lithuania,Software,2022,0,True
Lithuania,All,2018,2,True
Netherlands,Transportation,2014,0,True
Netherlands,Consumer goods,2020,1,True
Poland,Finance,2014,6,True
Australia,Finance,2024,17,False
Switzerland,Other,2024,14,False
Czechia,General purpose,2018,2,True
Denmark,"Mobile, platforms & Internet services",2023,4,True
Spain,Consumer goods,2018,0,True
United Kingdom,Manufacturing,2020,14,True
South Korea,Biotechnology,2023,5,True
Netherlands,Energy and natural resources,2016,0,True
Netherlands,Media and Entertainment,2022,2,True
Singapore,Biotechnology,2017,0,True
Singapore,Biotechnology,2021,4,True
Turkey,Finance,2020,1,True
Croatia,All,2024,108,False
Croatia,General purpose,2019,1,True
Malaysia,Information Technology,2020,1,True
Finland,Real estate,2019,11,True
United Kingdom,Gaming,2020,31,True
Hungary,Healthcare and Life Sciences,2022,3,True
South Korea,Privacy and Security,2018,1,True
China (mainland),Semiconductor,2016,1,True
Germany,Navigation and mapping,2017,2,True
Denmark,Robotics,2018,6,True
Egypt,Data and analytics,2024,2,False
Spain,Lending and Investments,2019,12,True
India,Speech Recognition,2016,7,True
Israel,"Military, public safety and government",2021,4,True
Kenya,Data and analytics,2017,0,True
Kenya,Software,2022,3,True
South Korea,Transportation,2018,8,True
Nigeria,General purpose,2017,0,True
Tanzania,General purpose,2017,0,True
United Arab Emirates,Hardware,2017,5,True
Brazil,Community and Lifestyle,2020,1,True
Italy,Other,2020,6,True
Poland,Manufacturing,2020,1,True
Vietnam,Professional services,2018,0,True
Jamaica,All,2018,0,True
Luxembourg,Manufacturing,2018,0,True
Poland,Computer Vision,2022,1,True
Turkey,Media and Entertainment,2018,0,True
Estonia,Computer Vision,2023,1,True
Tunisia,Software,2024,2,False
El Salvador,General purpose,2021,0,True
Vietnam,Other,2022,0,True
Azerbaijan,All,2022,0,True
Georgia,Data and analytics,2023,0,True
Morocco,Software,2022,0,True
Egypt,Robotics,2023,0,True
Honduras,Data and analytics,2024,1,False
Indonesia,Navigation and mapping,2024,0,False
Albania,"Mobile, platforms & Internet services",2024,5,False
United Arab Emirates,Education,2022,1,True
Argentina,Computer Vision,2022,2,True
Argentina,Hardware,2018,0,True
Armenia,Software,2021,1,True
Australia,Gaming,2021,32,True
Austria,Navigation and mapping,2023,2,True
Belgium,Education,2022,0,True
Belgium,Privacy and Security,2020,79,True
Bulgaria,All,2014,1,True
Bulgaria,Community and Lifestyle,2017,0,True
Bulgaria,"Sales, retail, commerce, marketing",2023,0,True
Bermuda,Data and analytics,2017,11,True
Chile,Finance,2019,0,True
Chile,"Mobile, platforms & Internet services",2021,1,True
Chile,"Mobile, platforms & Internet services",2022,2,True
Chile,Computer Vision,2014,0,True
Chile,Professional services,2021,0,True
Cyprus,Gaming,2023,0,True
Cyprus,Hardware,2015,1,True
Czechia,Professional services,2023,5,True
Czechia,Consumer goods,2016,1,True
Germany,Cyber Security,2024,1,False
Germany,Gaming,2019,0,True
Egypt,Other,2024,1,False
Spain,Sports,2018,0,True
Spain,Agriculture,2015,0,True
Spain,Speech Recognition,2023,2,True
Estonia,Finance,2024,1,False
Finland,Navigation and mapping,2021,0,True
France,Speech Recognition,2015,0,True
Greece,Hardware,2021,2,True
Hungary,Other,2022,0,True
Hungary,Finance,2022,24,True
Hungary,Robotics,2016,1,True
Hungary,Sports,2018,0,True
Indonesia,"Mobile, platforms & Internet services",2019,1,True
Ireland,Telecommunications,2018,3,True
Ireland,Computer Vision,2021,0,True
Iceland,Manufacturing,2023,3,True
Iceland,Education,2021,0,True
Iceland,NLP,2023,0,True
Italy,Biotechnology,2019,2,True
Jordan,Software,2020,0,True
Jordan,General purpose,2016,0,True
South Korea,Facial Recognition,2022,1,True
South Korea,Cyber Security,2019,3,True
South Korea,Agriculture,2023,2,True
Lebanon,Software,2021,0,True
Lithuania,Computer Vision,2019,1,True
Latvia,Hardware,2014,0,True
Mexico,"Mobile, platforms & Internet services",2017,2,True
Mexico,Transportation,2019,1,True
Mongolia,NLP,2019,0,True
Mauritius,Software,2021,20,True
Malaysia,Robotics,2021,1,True
Nigeria,Other,2017,0,True
Netherlands,Education,2018,1,True
Pakistan,General purpose,2014,0,True
Peru,Software,2014,0,True
Philippines,Data and analytics,2022,0,True
Poland,Gaming,2020,3,True
Portugal,Media and Entertainment,2019,3,True
Portugal,"Sales, retail, commerce, marketing",2024,10,False
Romania,Speech Recognition,2022,0,True
Romania,Education,2019,0,True
Russia,Healthcare and Life Sciences,2017,3,True
Russia,Other,2017,1,True
Russia,"Sales, retail, commerce, marketing",2020,1,True
Saudi Arabia,Real estate,2016,1,True
Saudi Arabia,Computer Vision,2019,1,True
Singapore,Computer Vision,2014,15,True
Singapore,Speech Recognition,2020,2,True
Slovakia,General purpose,2018,1,True
Slovakia,General purpose,2021,1,True
Slovakia,Navigation and mapping,2023,1,True
Slovenia,Privacy and Security,2014,0,True
Sweden,Manufacturing,2019,3,True
Sweden,Manufacturing,2021,4538,True
Sweden,Sports,2019,5,True
Sweden,Gaming,2021,30,True
Seychelles,Software,2015,0,True
Thailand,Lending and Investments,2016,0,True
Thailand,Speech Recognition,2024,0,False
Trinidad and Tobago,Sports,2022,2,True
Turkey,Real estate,2023,0,True
Taiwan,Lending and Investments,2016,0,True
Ukraine,Data and analytics,2020,1,True
Ukraine,"Mobile, platforms & Internet services",2021,0,True
Ukraine,Manufacturing,2023,2,True
