country,field,year,num_citations
Burkina Faso,Computer Vision,2019,4
Kosovo,Computer Vision,2020,12
Bulgaria,Large language models,2019,103
Colombia,Large language models,2022,36
Myanmar,Large language models,2022,2
Lebanon,Large language models,2023,19
North Macedonia,Large language models,2018,22
Jamaica,Large language models,2021,45
Luxembourg,Large language models,2024,18
Cameroon,Large language models,2023,27
Brunei Darussalam,Natural Language Processing,2022,290
Zimbabwe,Natural Language Processing,2024,2
Bahamas,Natural Language Processing,2023,204
North Korea,Natural Language Processing,2023,1
Uruguay,Computer Vision,2017,841
Iceland,Natural Language Processing,2016,37
Benin,All,2023,117
Mexico,All,2021,21598
Georgia,All,2014,54
Romania,All,2022,12505
Rwanda,All,2018,178
Tunisia,All,2014,5978
Bosnia and Herzegovina,All,2017,1885
Czechia,All,2024,940
Africa,All,2023,57467
Ghana,All,2017,253
Brunei Darussalam,All,2016,147
Uzbekistan,All,2018,275
Colombia,All,2023,3244
Argentina,All,2021,4261
Morocco,All,2023,7035
Luxembourg,All,2024,283
Bahrain,All,2018,678
China (mainland),All,2015,714126
Greece,All,2024,1943
Spain,All,2016,125642
Iceland,All,2024,75
Kenya,All,2020,1767
Tanzania,All,2023,397
Slovakia,All,2021,6281
United States,All,2023,466336
Poland,All,2023,20312
Bolivia,All,2018,179
Global Partnership on Artificial Intelligence,Robotics,2021,294614
Global Partnership on Artificial Intelligence,Robotics,2023,98974
United States,Robotics,2024,5189
Estonia,Robotics,2019,350
Indonesia,Robotics,2022,1056
Indonesia,Robotics,2024,88
China (mainland),Robotics,2022,112346
Denmark,Robotics,2024,173
Latin America and the Caribbean,Robotics,2016,17196
El Salvador,Robotics,2015,32
El Salvador,Robotics,2016,7
Czechia,Robotics,2020,2512
Cyprus,Robotics,2018,569
Nepal,Robotics,2016,89
OECD,Robotics,2023,97691
Quad,Robotics,2020,209928
Luxembourg,Robotics,2018,573
Oceania,Robotics,2014,15724
Japan,Robotics,2018,28350
Iran,Robotics,2024,199
South Korea,Robotics,2017,22742
Australia,Robotics,2015,13507
Sweden,Robotics,2024,368
Algeria,Robotics,2023,368
Belarus,Robotics,2021,33
Brazil,Robotics,2022,2630
EU,Robotics,2017,168894
Canada,Robotics,2015,21042
Turkey,Robotics,2014,3816
Brazil,AI Safety,2022,708
NATO,AI Safety,2014,68125
Chile,AI Safety,2014,140
Singapore,AI Safety,2018,9490
Taiwan,AI Safety,2015,454
Taiwan,AI Safety,2023,209
Belgium,AI Safety,2020,2560
Latin America and the Caribbean,AI Safety,2017,1554
Global Partnership on Artificial Intelligence,AI Safety,2021,133003
South Africa,AI Safety,2021,63
Iran,AI Safety,2022,103
Israel,AI Safety,2021,4460
Belarus,Computer Vision,2016,37
Indonesia,Computer Vision,2024,552
Singapore,Computer Vision,2019,63345
Uganda,Computer Vision,2019,500
Brunei Darussalam,Computer Vision,2016,8
South Africa,Computer Vision,2016,2629
South Africa,Computer Vision,2018,3428
Sudan,Computer Vision,2020,322
Mexico,Computer Vision,2015,2866
Iceland,Computer Vision,2021,460
Bolivia,Computer Vision,2018,16
Portugal,Computer Vision,2021,6597
Belgium,Computer Vision,2018,15099
Belgium,Computer Vision,2022,7290
Tanzania,Computer Vision,2024,21
Ireland,Computer Vision,2016,6961
Ireland,Computer Vision,2022,2762
Kazakhstan,Computer Vision,2015,192
Sri Lanka,Computer Vision,2015,302
Argentina,Computer Vision,2020,1596
Argentina,Computer Vision,2021,937
Italy,Computer Vision,2015,36578
Oceania,Computer Vision,2020,119897
Oman,Computer Vision,2015,73
Germany,Computer Vision,2019,161861
Poland,Computer Vision,2015,5976
Thailand,Computer Vision,2015,2093
Czechia,Computer Vision,2020,7526
Netherlands,Large language models,2016,935
ASEAN,Large language models,2024,802
Belgium,Large language models,2018,146
Five Eyes,Large language models,2024,6600
Northern America,Large language models,2021,162836
Spain,Large language models,2015,1288
Singapore,Large language models,2017,477
Australia,Large language models,2020,5444
Africa,Large language models,2017,181
Israel,Natural Language Processing,2024,333
Slovenia,Natural Language Processing,2019,1029
Ecuador,Natural Language Processing,2018,195
Egypt,Natural Language Processing,2022,1475
Malaysia,Natural Language Processing,2019,3045
Finland,Natural Language Processing,2015,2163
Russia,Natural Language Processing,2021,3896
South Sudan,Natural Language Processing,2014,313
South Sudan,Natural Language Processing,2021,170
Pakistan,Natural Language Processing,2022,3399
Uruguay,Natural Language Processing,2021,335
Latin America and the Caribbean,Natural Language Processing,2016,7770
Latin America and the Caribbean,Natural Language Processing,2017,8175
Norway,Natural Language Processing,2020,5270
Serbia,Natural Language Processing,2018,292
Serbia,Natural Language Processing,2021,146
Turkey,Natural Language Processing,2017,4084
Saudi Arabia,Natural Language Processing,2022,6092
Mexico,Natural Language Processing,2024,111
South Korea,Natural Language Processing,2019,17092
Slovakia,Natural Language Processing,2021,431
Burkina Faso,All,2019,82
India,Large language models,2020,3097
Portugal,Large language models,2018,52
Algeria,Large language models,2018,224
Algeria,Large language models,2019,314
Belarus,Natural Language Processing,2019,77
Uzbekistan,Natural Language Processing,2015,6
Algeria,AI Safety,2017,2
Indonesia,Large language models,2018,9
Burundi,Large language models,2020,11
Burundi,Large language models,2021,30
Slovakia,Large language models,2015,18
Swaziland,All,2023,51
Syria,Computer Vision,2020,396
Philippines,AI Safety,2021,37
United Arab Emirates,Large language models,2023,4482
Qatar,Large language models,2019,169
Haiti,Computer Vision,2021,13
Bermuda,All,2020,82
Bhutan,All,2015,5
Botswana,Robotics,2021,117
Monaco,Robotics,2020,39
Zimbabwe,Robotics,2019,33
Sudan,Robotics,2016,4
Georgia,Robotics,2022,13
Jamaica,Robotics,2018,19
Uruguay,AI Safety,2018,54
Brunei Darussalam,AI Safety,2017,34
Serbia,AI Safety,2022,3
Uzbekistan,AI Safety,2023,8
Bulgaria,AI Safety,2017,4
Croatia,AI Safety,2022,3
Jordan,AI Safety,2022,87
Niger,Computer Vision,2019,19
Jamaica,Computer Vision,2020,883
Dominican Republic,Computer Vision,2022,40
New Zealand,Large language models,2021,75
South Sudan,Large language models,2020,1
Ghana,Large language models,2023,2
Peru,Large language models,2020,27
Lithuania,Large language models,2024,2
Sri Lanka,Large language models,2020,10
